"Time","Host","Description","Status","Severity","Duration","Ack","Actions"
"2025-07-16 14:14:01","KT-MEG+#운영#c-ktmeg-pk1-a33#","[MW] pushSvr21 Process DOWN","PROBLEM","Fatal","10m","No","16TimeUserDetailsStatusInfo2025-07-16 14:14:0682022627 (방지현 플랫폼인프라팀)Sent2025-07-16 14:14:0682022890 (한춘환 고객인프라2팀)Sent2025-07-16 14:14:0682288197 (한성일 경영인프라팀)Sent2025-07-16 14:14:0682212547 (권소희 고객/경영인프라팀)Sent2025-07-16 14:14:0691165414 (한대근 IT통합관제팀)Sent2025-07-16 14:14:0682275800 (김현근 DX플랫폼사업팀)Sent2025-07-16 14:14:0682265659 (김현석 DX플랫폼사업팀)Sent2025-07-16 14:14:0691328535 (신승엽 DX플랫폼사업팀)Sent2025-07-16 14:14:0682265656 (최숭 DX플랫폼사업팀)Sent2025-07-16 14:14:0691360626 (박대영 채널인프라팀)Sent2025-07-16 14:14:0691328536 (백태호 DX플랫폼사업팀)Sent2025-07-16 14:14:0691328537 (김세진 DX플랫폼사업팀)Sent2025-07-16 14:14:0682275800 (김현근 DX플랫폼사업팀)Sent2025-07-16 14:14:0682265656 (최숭 DX플랫폼사업팀)Sent2025-07-16 14:14:0691165414 (한대근 IT통합관제팀)Sent2025-07-16 14:14:0691370471 (배수연 채널인프라팀)Sent1TimeUserDetailsStatusInfo2025-07-16 14:14:0682240957 (이태현 사업시너지팀)Not sent&times;No media defined for user."
"2025-07-16 14:13:55","KT-MEG+#운영#c-ktmeg-pk1-a33#","[OS0001]  Agent 행 체크  불가","OK","Critical","6d 22h 34m","No","12TimeUserDetailsStatusInfo2025-07-16 14:13:5982288197 (한성일 경영인프라팀)Sent2025-07-16 14:13:5982022890 (한춘환 고객인프라2팀)Sent2025-07-16 14:13:5982212547 (권소희 고객/경영인프라팀)Sent2025-07-16 14:13:5982022627 (방지현 플랫폼인프라팀)Sent2025-07-16 14:13:5991165414 (한대근 IT통합관제팀)Sent2025-07-16 14:13:5991165414 (한대근 IT통합관제팀)Sent2025-07-16 14:13:5991357203 (정길영 AI/CX 채널인프라팀)Sent2025-07-16 14:13:5991360626 (박대영 채널인프라팀)Sent2025-07-16 14:13:5991328594 (이은상 AI/CX 품질혁신팀)Sent2025-07-16 14:13:5991340822 (강동혁 AI/CX 품질혁신팀)Sent2025-07-16 14:13:5991342717 (한상현 AI/CX 품질혁신팀)Sent2025-07-16 14:13:5991370471 (배수연 채널인프라팀)Sent"
"2025-07-16 14:13:47","KT-MEG+#운영#c-ktmeg-pk1-a33#","[MW]IRAC_CENT06_JB_000|pushSvr21|8380| JBoss Port Process down 감시","PROBLEM","Critical","10m 5s","No","16TimeUserDetailsStatusInfo2025-07-16 14:13:5191328535 (신승엽 DX플랫폼사업팀)Sent2025-07-16 14:13:5182265656 (최숭 DX플랫폼사업팀)Sent2025-07-16 14:13:5191328536 (백태호 DX플랫폼사업팀)Sent2025-07-16 14:13:5191328537 (김세진 DX플랫폼사업팀)Sent2025-07-16 14:13:5182275800 (김현근 DX플랫폼사업팀)Sent2025-07-16 14:13:5182265656 (최숭 DX플랫폼사업팀)Sent2025-07-16 14:13:5191165414 (한대근 IT통합관제팀)Sent2025-07-16 14:13:5191370471 (배수연 채널인프라팀)Sent2025-07-16 14:13:5191360626 (박대영 채널인프라팀)Sent2025-07-16 14:13:5182022627 (방지현 플랫폼인프라팀)Sent2025-07-16 14:13:5182022890 (한춘환 고객인프라2팀)Sent2025-07-16 14:13:5182288197 (한성일 경영인프라팀)Sent2025-07-16 14:13:5182212547 (권소희 고객/경영인프라팀)Sent2025-07-16 14:13:5191165414 (한대근 IT통합관제팀)Sent2025-07-16 14:13:5182275800 (김현근 DX플랫폼사업팀)Sent2025-07-16 14:13:5182265659 (김현석 DX플랫폼사업팀)Sent1TimeUserDetailsStatusInfo2025-07-16 14:13:5182240957 (이태현 사업시너지팀)Not sent&times;No media defined for user."
"2025-07-16 14:13:41","KT-MEG+#운영#c-ktmeg-pk1-a33#","[OS0001] ICMP Ping 체크  불가","OK","Fatal","6d 22h 34m","No","12TimeUserDetailsStatusInfo2025-07-16 14:13:5682288197 (한성일 경영인프라팀)Sent2025-07-16 14:13:5682022890 (한춘환 고객인프라2팀)Sent2025-07-16 14:13:5682212547 (권소희 고객/경영인프라팀)Sent2025-07-16 14:13:5682022627 (방지현 플랫폼인프라팀)Sent2025-07-16 14:13:5691165414 (한대근 IT통합관제팀)Sent2025-07-16 14:13:5691328594 (이은상 AI/CX 품질혁신팀)Sent2025-07-16 14:13:5691340822 (강동혁 AI/CX 품질혁신팀)Sent2025-07-16 14:13:5691342717 (한상현 AI/CX 품질혁신팀)Sent2025-07-16 14:13:5691370471 (배수연 채널인프라팀)Sent2025-07-16 14:13:5691360626 (박대영 채널인프라팀)Sent2025-07-16 14:13:5691165414 (한대근 IT통합관제팀)Sent2025-07-16 14:13:5691357203 (정길영 AI/CX 채널인프라팀)Sent"
"2025-07-16 14:13:02","KT-MEG+#운영#c-ktmeg-pk1-a33#","[OS5019]messages: 파일시스템 관련(read-only)","PROBLEM","Critical","5m 28s","No","20TimeUserDetailsStatusInfo2025-07-16 14:13:1091328535 (신승엽 DX플랫폼사업팀)Sent2025-07-16 14:13:1082265656 (최숭 DX플랫폼사업팀)Sent2025-07-16 14:13:1082265656 (최숭 DX플랫폼사업팀)Sent2025-07-16 14:13:1091165414 (한대근 IT통합관제팀)Sent2025-07-16 14:13:1091342717 (한상현 AI/CX 품질혁신팀)Sent2025-07-16 14:13:1091357203 (정길영 AI/CX 채널인프라팀)Sent2025-07-16 14:13:1091328594 (이은상 AI/CX 품질혁신팀)Sent2025-07-16 14:13:1091340822 (강동혁 AI/CX 품질혁신팀)Sent2025-07-16 14:13:1091370471 (배수연 채널인프라팀)Sent2025-07-16 14:13:1091360626 (박대영 채널인프라팀)Sent2025-07-16 14:13:1082022627 (방지현 플랫폼인프라팀)Sent2025-07-16 14:13:1082022890 (한춘환 고객인프라2팀)Sent2025-07-16 14:13:1082288197 (한성일 경영인프라팀)Sent2025-07-16 14:13:1082212547 (권소희 고객/경영인프라팀)Sent2025-07-16 14:13:1091165414 (한대근 IT통합관제팀)Sent2025-07-16 14:13:1082275800 (김현근 DX플랫폼사업팀)Sent2025-07-16 14:13:1082265659 (김현석 DX플랫폼사업팀)Sent2025-07-16 14:13:1091328536 (백태호 DX플랫폼사업팀)Sent2025-07-16 14:13:1091328537 (김세진 DX플랫폼사업팀)Sent2025-07-16 14:13:1082275800 (김현근 DX플랫폼사업팀)Sent1TimeUserDetailsStatusInfo2025-07-16 14:13:1082240957 (이태현 사업시너지팀)Not sent&times;No media defined for user."
"2025-07-16 14:13:02","KT-MEG+#운영#c-ktmeg-pk1-a33#","[OS6004]Syslog read-only 감시","PROBLEM","Critical","1m 28s","No","20TimeUserDetailsStatusInfo2025-07-16 14:13:1282022627 (방지현 플랫폼인프라팀)Sent2025-07-16 14:13:1282022890 (한춘환 고객인프라2팀)Sent2025-07-16 14:13:1282288197 (한성일 경영인프라팀)Sent2025-07-16 14:13:1282212547 (권소희 고객/경영인프라팀)Sent2025-07-16 14:13:1291165414 (한대근 IT통합관제팀)Sent2025-07-16 14:13:1282275800 (김현근 DX플랫폼사업팀)Sent2025-07-16 14:13:1282265659 (김현석 DX플랫폼사업팀)Sent2025-07-16 14:13:1291328535 (신승엽 DX플랫폼사업팀)Sent2025-07-16 14:13:1282265656 (최숭 DX플랫폼사업팀)Sent2025-07-16 14:13:1291328536 (백태호 DX플랫폼사업팀)Sent2025-07-16 14:13:1291328537 (김세진 DX플랫폼사업팀)Sent2025-07-16 14:13:1282275800 (김현근 DX플랫폼사업팀)Sent2025-07-16 14:13:1282265656 (최숭 DX플랫폼사업팀)Sent2025-07-16 14:13:1291165414 (한대근 IT통합관제팀)Sent2025-07-16 14:13:1291342717 (한상현 AI/CX 품질혁신팀)Sent2025-07-16 14:13:1291357203 (정길영 AI/CX 채널인프라팀)Sent2025-07-16 14:13:1291328594 (이은상 AI/CX 품질혁신팀)Sent2025-07-16 14:13:1291340822 (강동혁 AI/CX 품질혁신팀)Sent2025-07-16 14:13:1291370471 (배수연 채널인프라팀)Sent2025-07-16 14:13:1291360626 (박대영 채널인프라팀)Sent1TimeUserDetailsStatusInfo2025-07-16 14:13:1282240957 (이태현 사업시너지팀)Not sent&times;No media defined for user."
"2025-07-16 14:10:53","KT-MEG+#운영#c-ktmeg-pk1-a33#","[OS0001] ICMP Ping 체크  불가","PROBLEM","Fatal","2m 48s","No","20TimeUserDetailsStatusInfo2025-07-16 14:11:0791342717 (한상현 AI/CX 품질혁신팀)Sent2025-07-16 14:11:0791357203 (정길영 AI/CX 채널인프라팀)Sent2025-07-16 14:11:0782022627 (방지현 플랫폼인프라팀)Sent2025-07-16 14:11:0782022890 (한춘환 고객인프라2팀)Sent2025-07-16 14:11:0782288197 (한성일 경영인프라팀)Sent2025-07-16 14:11:0782212547 (권소희 고객/경영인프라팀)Sent2025-07-16 14:11:0791165414 (한대근 IT통합관제팀)Sent2025-07-16 14:11:0782275800 (김현근 DX플랫폼사업팀)Sent2025-07-16 14:11:0782265659 (김현석 DX플랫폼사업팀)Sent2025-07-16 14:11:0791328535 (신승엽 DX플랫폼사업팀)Sent2025-07-16 14:11:0782265656 (최숭 DX플랫폼사업팀)Sent2025-07-16 14:11:0791328536 (백태호 DX플랫폼사업팀)Sent2025-07-16 14:11:0791328537 (김세진 DX플랫폼사업팀)Sent2025-07-16 14:11:0782275800 (김현근 DX플랫폼사업팀)Sent2025-07-16 14:11:0782265656 (최숭 DX플랫폼사업팀)Sent2025-07-16 14:11:0791165414 (한대근 IT통합관제팀)Sent2025-07-16 14:11:0791360626 (박대영 채널인프라팀)Sent2025-07-16 14:11:0791328594 (이은상 AI/CX 품질혁신팀)Sent2025-07-16 14:11:0791340822 (강동혁 AI/CX 품질혁신팀)Sent2025-07-16 14:11:0791370471 (배수연 채널인프라팀)Sent1TimeUserDetailsStatusInfo2025-07-16 14:11:0782240957 (이태현 사업시너지팀)Not sent&times;No media defined for user."
"2025-07-16 14:09:58","KT-MEG+#운영#c-ktmeg-pk1-a33#","[OS0001]  Agent 행 체크  불가","PROBLEM","Critical","3m 57s","No","20TimeUserDetailsStatusInfo2025-07-16 14:10:0182022627 (방지현 플랫폼인프라팀)Sent2025-07-16 14:10:0182022890 (한춘환 고객인프라2팀)Sent2025-07-16 14:10:0182288197 (한성일 경영인프라팀)Sent2025-07-16 14:10:0182212547 (권소희 고객/경영인프라팀)Sent2025-07-16 14:10:0191165414 (한대근 IT통합관제팀)Sent2025-07-16 14:10:0182275800 (김현근 DX플랫폼사업팀)Sent2025-07-16 14:10:0182265659 (김현석 DX플랫폼사업팀)Sent2025-07-16 14:10:0191328535 (신승엽 DX플랫폼사업팀)Sent2025-07-16 14:10:0182265656 (최숭 DX플랫폼사업팀)Sent2025-07-16 14:10:0191328536 (백태호 DX플랫폼사업팀)Sent2025-07-16 14:10:0191328537 (김세진 DX플랫폼사업팀)Sent2025-07-16 14:10:0182275800 (김현근 DX플랫폼사업팀)Sent2025-07-16 14:10:0182265656 (최숭 DX플랫폼사업팀)Sent2025-07-16 14:10:0191165414 (한대근 IT통합관제팀)Sent2025-07-16 14:10:0191342717 (한상현 AI/CX 품질혁신팀)Sent2025-07-16 14:10:0191357203 (정길영 AI/CX 채널인프라팀)Sent2025-07-16 14:10:0191328594 (이은상 AI/CX 품질혁신팀)Sent2025-07-16 14:10:0191340822 (강동혁 AI/CX 품질혁신팀)Sent2025-07-16 14:10:0191370471 (배수연 채널인프라팀)Sent2025-07-16 14:10:0191360626 (박대영 채널인프라팀)Sent1TimeUserDetailsStatusInfo2025-07-16 14:10:0182240957 (이태현 사업시너지팀)Not sent&times;No media defined for user."
"2025-07-16 12:05:54","KT-MEG+#운영#c-knmeg-pk1-a03#","[AO] eTrade 계량값수신 50개소 이하 - 4시간","PROBLEM","Major","18h 10m 6s","No","6TimeUserDetailsStatusInfo2025-07-16 12:05:5791328535 (신승엽 DX플랫폼사업팀)Sent2025-07-16 12:05:5782265656 (최숭 DX플랫폼사업팀)Sent2025-07-16 12:05:5791328536 (백태호 DX플랫폼사업팀)Sent2025-07-16 12:05:5791328537 (김세진 DX플랫폼사업팀)Sent2025-07-16 12:05:5782275800 (김현근 DX플랫폼사업팀)Sent2025-07-16 12:05:5782265656 (최숭 DX플랫폼사업팀)Sent"
"2025-07-16 09:05:31","KT-MEG+#운영#c-ktmeg-pk1-d01#","[AO0008] TB_SIZE CHECK","OK","Information","23h 55m 15s","No",""
