"Time","Host","Description","Status","Severity","Duration","Ack","Actions"
"2025-07-17 19:13:52","KT-MEG+#운영#knmeg-dl-data14#","[OS0020] Disk I/O 15분간 70%이상 (68.96%)","OK","Major","25m 1s","No","4TimeUserDetailsStatusInfo2025-07-17 19:13:5691328541 (오수영 환경DX플랫폼팀)Sent2025-07-17 19:13:5682275800 (김현근 DX플랫폼사업팀)Sent2025-07-17 19:13:5682265610 (권기태 CX플랫폼팀)Sent2025-07-17 19:13:5682265656 (최숭 DX플랫폼사업팀)Sent"
"2025-07-17 19:12:56","KT-MEG+#운영#knmeg-dl-data13#","[OS0020] Disk I/O 15분간 70%이상 (77.82%)","PROBLEM","Major","59s","No","4TimeUserDetailsStatusInfo2025-07-17 19:13:0091328541 (오수영 환경DX플랫폼팀)Sent2025-07-17 19:13:0082275800 (김현근 DX플랫폼사업팀)Sent2025-07-17 19:13:0082265656 (최숭 DX플랫폼사업팀)Sent2025-07-17 19:13:0082265610 (권기태 CX플랫폼팀)Sent1TimeUserDetailsStatusInfo2025-07-17 19:13:0091318624 (오수영 DX플랫폼팀)Not sent&times;No media defined for user."
"2025-07-17 19:12:52","KT-MEG+#운영#knmeg-dl-data14#","[OS0020] Disk I/O 15분간 70%이상 (100.62%)","PROBLEM","Major","1m","No","4TimeUserDetailsStatusInfo2025-07-17 19:12:5682265610 (권기태 CX플랫폼팀)Sent2025-07-17 19:12:5691328541 (오수영 환경DX플랫폼팀)Sent2025-07-17 19:12:5682275800 (김현근 DX플랫폼사업팀)Sent2025-07-17 19:12:5682265656 (최숭 DX플랫폼사업팀)Sent1TimeUserDetailsStatusInfo2025-07-17 19:12:5691318624 (오수영 DX플랫폼팀)Not sent&times;No media defined for user."
"2025-07-17 18:36:28","KT-MEG+#운영#c-knmeg-pk1-a04#","[AO]GeM SMS발송 성공이력없음(30분)","PROBLEM","Major","3h","No","6TimeUserDetailsStatusInfo2025-07-17 18:36:3091328535 (신승엽 DX플랫폼사업팀)Sent2025-07-17 18:36:3082265656 (최숭 DX플랫폼사업팀)Sent2025-07-17 18:36:3091328536 (백태호 DX플랫폼사업팀)Sent2025-07-17 18:36:3091328537 (김세진 DX플랫폼사업팀)Sent2025-07-17 18:36:3082265656 (최숭 DX플랫폼사업팀)Sent2025-07-17 18:36:3082275800 (김현근 DX플랫폼사업팀)Sent"
"2025-07-17 15:05:55","KT-MEG+#운영#c-knmeg-pk1-a03#","[AO] eTrade 계량값수신 50개소 이하 - 4시간","PROBLEM","Major","15h 10m 6s","No","6TimeUserDetailsStatusInfo2025-07-17 15:05:5991328535 (신승엽 DX플랫폼사업팀)Sent2025-07-17 15:05:5982265656 (최숭 DX플랫폼사업팀)Sent2025-07-17 15:05:5991328536 (백태호 DX플랫폼사업팀)Sent2025-07-17 15:05:5991328537 (김세진 DX플랫폼사업팀)Sent2025-07-17 15:05:5982275800 (김현근 DX플랫폼사업팀)Sent2025-07-17 15:05:5982265656 (최숭 DX플랫폼사업팀)Sent"
"2025-07-17 14:16:00","KT-MEG+#운영#c-knmeg-pk1-a03#","[AO] eTrade 계량값수신 50개소 이하 - 4시간","OK","Major","49m 55s","No",""
"2025-07-17 10:05:55","KT-MEG+#운영#c-knmeg-pk1-a03#","[AO] eTrade 계량값수신 50개소 이하 - 4시간","PROBLEM","Major","4h 10m 5s","No","6TimeUserDetailsStatusInfo2025-07-17 10:06:0391328535 (신승엽 DX플랫폼사업팀)Sent2025-07-17 10:06:0382265656 (최숭 DX플랫폼사업팀)Sent2025-07-17 10:06:0391328536 (백태호 DX플랫폼사업팀)Sent2025-07-17 10:06:0391328537 (김세진 DX플랫폼사업팀)Sent2025-07-17 10:06:0382275800 (김현근 DX플랫폼사업팀)Sent2025-07-17 10:06:0382265656 (최숭 DX플랫폼사업팀)Sent"
"2025-07-17 09:06:00","KT-MEG+#운영#c-ktmeg-pk1-d01#","[AO0008] TB_SIZE CHECK","OK","Information","23h 54m 27s","No",""
"2025-07-17 09:05:30","KT-MEG+#운영#c-ktmeg-pk1-d09#","[AO0008] TB_SIZE CHECK","OK","Information","23h 55m 9s","No",""
"2025-07-17 09:00:46","KT-MEG+#운영#c-ktmeg-pk1-d01#","[AO0008] TB_SIZE CHECK","PROBLEM","Information","5m 14s","No",""
"2025-07-17 09:00:19","KT-MEG+#운영#c-ktmeg-pk1-d09#","[AO0008] TB_SIZE CHECK","PROBLEM","Information","5m 11s","No",""
"2025-07-17 08:45:05","KT-MEG+#운영#knmeg_db_db03#","[OS0020] Disk I/O 15분간 70이상 (3.12%)","OK","Major","13h 39m","No",""
"2025-07-17 08:36:28","KT-MEG+#운영#c-knmeg-pk1-a04#","[AO]GeM SMS발송 성공이력없음(30분)","OK","Major","10h","No",""
"2025-07-17 07:52:12","KT-MEG+#운영#knmeg_db_db02#","[OS0020] Disk I/O 15분간 70이상 (16.59%)","OK","Major","14h 30m 1s","No",""
"2025-07-17 06:16:00","KT-MEG+#운영#c-knmeg-pk1-a03#","[AO] eTrade 계량값수신 50개소 이하 - 4시간","OK","Major","3h 49m 55s","No",""
"2025-07-17 04:08:30","KT-MEG+#운영#c-knmeg-pk1-a17#","[SE0001] ssh접속발생","OK","Warning","23h 52m 7s","No",""
"2025-07-17 04:07:29","KT-MEG+#운영#c-knmeg-pk1-a17#","[SE0001] ssh접속발생","PROBLEM","Warning","1m 1s","No","1TimeUserDetailsStatusInfo2025-07-17 04:07:37Security_Log_UserSent"
"2025-07-17 04:03:31","KT-MEG+#운영#c-knmeg-pk1-a17#","[SE0001] ssh접속발생","OK","Warning","3m 58s","No",""
"2025-07-17 04:02:29","KT-MEG+#운영#c-knmeg-pk1-a17#","[SE0001] ssh접속발생","PROBLEM","Warning","1m 2s","No","1TimeUserDetailsStatusInfo2025-07-17 04:02:37Security_Log_UserSent"
"2025-07-17 00:11:12","KT-MEG+#운영#c-ktmeg-pk1-d10#","[AO0005] TEST 2","OK","Information","23h 57m 12s","No",""
"2025-07-17 00:10:12","KT-MEG+#운영#c-ktmeg-pk1-d10#","[AO0005] TEST 2","PROBLEM","Information","1m","No",""
"2025-07-16 22:36:28","KT-MEG+#운영#c-knmeg-pk1-a04#","[AO]GeM SMS발송 성공이력없음(30분)","PROBLEM","Major","10h","No","6TimeUserDetailsStatusInfo2025-07-16 22:36:3191328535 (신승엽 DX플랫폼사업팀)Sent2025-07-16 22:36:3182265656 (최숭 DX플랫폼사업팀)Sent2025-07-16 22:36:3191328536 (백태호 DX플랫폼사업팀)Sent2025-07-16 22:36:3191328537 (김세진 DX플랫폼사업팀)Sent2025-07-16 22:36:3182275800 (김현근 DX플랫폼사업팀)Sent2025-07-16 22:36:3182265656 (최숭 DX플랫폼사업팀)Sent"
"2025-07-16 22:30:50","KT-MEG+#운영#c-ktmeg-pk1-d01#","[OS0020] Disk I/O 15분간 70이상 (66.04%)","OK","Major","2d 23h 15m","No",""
"2025-07-16 22:24:04","KT-MEG+#운영#knmeg_db_db03#","[OS0020] Disk I/O 15분간 70이상 (98.4%)","PROBLEM","Major","10h 21m 1s","No",""
"2025-07-16 22:22:12","KT-MEG+#운영#knmeg_db_db02#","[OS0020] Disk I/O 15분간 70이상 (90.47%)","PROBLEM","Major","9h 30m","No",""
"2025-07-16 22:06:28","KT-MEG+#운영#c-knmeg-pk1-a04#","[AO]GeM SMS발송 성공이력없음(30분)","OK","Major","30m","No",""
"2025-07-16 21:45:49","KT-MEG+#운영#c-ktmeg-pk1-d01#","[OS0020] Disk I/O 15분간 70이상 (93.92%)","PROBLEM","Major","45m 1s","No",""
"2025-07-16 21:36:28","KT-MEG+#운영#c-knmeg-pk1-a04#","[AO]GeM SMS발송 성공이력없음(30분)","PROBLEM","Major","30m","No","6TimeUserDetailsStatusInfo2025-07-16 21:36:3382265656 (최숭 DX플랫폼사업팀)Sent2025-07-16 21:36:3391328535 (신승엽 DX플랫폼사업팀)Sent2025-07-16 21:36:3382265656 (최숭 DX플랫폼사업팀)Sent2025-07-16 21:36:3391328536 (백태호 DX플랫폼사업팀)Sent2025-07-16 21:36:3391328537 (김세진 DX플랫폼사업팀)Sent2025-07-16 21:36:3382275800 (김현근 DX플랫폼사업팀)Sent"
"2025-07-16 21:06:28","KT-MEG+#운영#c-knmeg-pk1-a04#","[AO]GeM SMS발송 성공이력없음(30분)","OK","Major","30m","No",""
"2025-07-16 20:46:38","KT-MEG+#운영#knmeg-dl-data10#","[OS0020] Disk I/O 15분간 70%이상 (57.96%)","OK","Major","6d 16h 2m","No","4TimeUserDetailsStatusInfo2025-07-16 20:46:4391328541 (오수영 환경DX플랫폼팀)Sent2025-07-16 20:46:4382275800 (김현근 DX플랫폼사업팀)Sent2025-07-16 20:46:4382265610 (권기태 CX플랫폼팀)Sent2025-07-16 20:46:4382265656 (최숭 DX플랫폼사업팀)Sent"
"2025-07-16 20:37:38","KT-MEG+#운영#knmeg-dl-data10#","[OS0020] Disk I/O 15분간 70%이상 (82.79%)","PROBLEM","Major","9m","No","4TimeUserDetailsStatusInfo2025-07-16 20:37:4182265610 (권기태 CX플랫폼팀)Sent2025-07-16 20:37:4191328541 (오수영 환경DX플랫폼팀)Sent2025-07-16 20:37:4182275800 (김현근 DX플랫폼사업팀)Sent2025-07-16 20:37:4182265656 (최숭 DX플랫폼사업팀)Sent1TimeUserDetailsStatusInfo2025-07-16 20:37:4191318624 (오수영 DX플랫폼팀)Not sent&times;No media defined for user."
"2025-07-16 20:36:28","KT-MEG+#운영#c-knmeg-pk1-a04#","[AO]GeM SMS발송 성공이력없음(30분)","PROBLEM","Major","30m","No","6TimeUserDetailsStatusInfo2025-07-16 20:36:3291328535 (신승엽 DX플랫폼사업팀)Sent2025-07-16 20:36:3282265656 (최숭 DX플랫폼사업팀)Sent2025-07-16 20:36:3291328536 (백태호 DX플랫폼사업팀)Sent2025-07-16 20:36:3291328537 (김세진 DX플랫폼사업팀)Sent2025-07-16 20:36:3282275800 (김현근 DX플랫폼사업팀)Sent2025-07-16 20:36:3282265656 (최숭 DX플랫폼사업팀)Sent"
"2025-07-16 20:36:02","KT-MEG+#운영#knmeg-dl-data11#","[OS0020] Disk I/O 15분간 70이상 (30.04%)","OK","Major","6d 16h 13m","No","4TimeUserDetailsStatusInfo2025-07-16 20:36:0591328541 (오수영 환경DX플랫폼팀)Sent2025-07-16 20:36:0582275800 (김현근 DX플랫폼사업팀)Sent2025-07-16 20:36:0582265610 (권기태 CX플랫폼팀)Sent2025-07-16 20:36:0582265656 (최숭 DX플랫폼사업팀)Sent"
"2025-07-16 20:12:38","KT-MEG+#운영#knmeg-dl-data10#","[OS0020] Disk I/O 15분간 70%이상 (68.14%)","OK","Major","25m","No","4TimeUserDetailsStatusInfo2025-07-16 20:12:4391328541 (오수영 환경DX플랫폼팀)Sent2025-07-16 20:12:4382275800 (김현근 DX플랫폼사업팀)Sent2025-07-16 20:12:4382265610 (권기태 CX플랫폼팀)Sent2025-07-16 20:12:4382265656 (최숭 DX플랫폼사업팀)Sent"
"2025-07-16 20:06:28","KT-MEG+#운영#c-knmeg-pk1-a04#","[AO]GeM SMS발송 성공이력없음(30분)","OK","Major","30m","No",""
"2025-07-16 18:53:01","KT-MEG+#운영#knmeg-dl-data11#","[OS0020] Disk I/O 15분간 70이상 (90.81%)","PROBLEM","Major","1h 43m 1s","No","4TimeUserDetailsStatusInfo2025-07-16 18:53:0482265656 (최숭 DX플랫폼사업팀)Sent2025-07-16 18:53:0482265610 (권기태 CX플랫폼팀)Sent2025-07-16 18:53:0491328541 (오수영 환경DX플랫폼팀)Sent2025-07-16 18:53:0482275800 (김현근 DX플랫폼사업팀)Sent1TimeUserDetailsStatusInfo2025-07-16 18:53:0491318624 (오수영 DX플랫폼팀)Not sent&times;No media defined for user."
"2025-07-16 18:48:38","KT-MEG+#운영#knmeg-dl-data10#","[OS0020] Disk I/O 15분간 70%이상 (100.41%)","PROBLEM","Major","1h 24m","No","4TimeUserDetailsStatusInfo2025-07-16 18:48:4382265610 (권기태 CX플랫폼팀)Sent2025-07-16 18:48:4391328541 (오수영 환경DX플랫폼팀)Sent2025-07-16 18:48:4382275800 (김현근 DX플랫폼사업팀)Sent2025-07-16 18:48:4382265656 (최숭 DX플랫폼사업팀)Sent1TimeUserDetailsStatusInfo2025-07-16 18:48:4391318624 (오수영 DX플랫폼팀)Not sent&times;No media defined for user."
"2025-07-16 18:36:29","KT-MEG+#운영#c-knmeg-pk1-a04#","[AO]GeM SMS발송 성공이력없음(30분)","PROBLEM","Major","1h 29m 59s","No","6TimeUserDetailsStatusInfo2025-07-16 18:36:3191328535 (신승엽 DX플랫폼사업팀)Sent2025-07-16 18:36:3182265656 (최숭 DX플랫폼사업팀)Sent2025-07-16 18:36:3191328536 (백태호 DX플랫폼사업팀)Sent2025-07-16 18:36:3191328537 (김세진 DX플랫폼사업팀)Sent2025-07-16 18:36:3182275800 (김현근 DX플랫폼사업팀)Sent2025-07-16 18:36:3182265656 (최숭 DX플랫폼사업팀)Sent"
"2025-07-16 18:08:00","KT-MEG+#운영#c-knmeg-pk1-a03#","[AO]외부수집데이터_kweather-Fail - 2시간","OK","Major","3d 15h 58m","No",""
"2025-07-16 16:06:03","KT-MEG+#운영#c-knmeg-pk1-a03#","[AO]외부수집데이터_kweather-Fail - 2시간","PROBLEM","Major","2h 1m 57s","No","6TimeUserDetailsStatusInfo2025-07-16 16:06:0891328535 (신승엽 DX플랫폼사업팀)Sent2025-07-16 16:06:0882265656 (최숭 DX플랫폼사업팀)Sent2025-07-16 16:06:0891328536 (백태호 DX플랫폼사업팀)Sent2025-07-16 16:06:0891328537 (김세진 DX플랫폼사업팀)Sent2025-07-16 16:06:0882275800 (김현근 DX플랫폼사업팀)Sent2025-07-16 16:06:0882265656 (최숭 DX플랫폼사업팀)Sent"
"2025-07-16 14:51:30","KT-MEG+#운영#c-knmeg-pd1-a35#","[AO]Xroshot_Batch_EXECUTE ERROR_로그_감시","OK","Major","6d 21h 57m","No",""
"2025-07-16 14:41:05","KT-MEG+#운영#c-knmeg-pd1-a35#","[AO]Xroshot_Batch_EXECUTE ERROR_로그_감시","PROBLEM","Major","10m 25s","No","6TimeUserDetailsStatusInfo2025-07-16 14:41:1282265656 (최숭 DX플랫폼사업팀)Sent2025-07-16 14:41:1291328536 (백태호 DX플랫폼사업팀)Sent2025-07-16 14:41:1291328537 (김세진 DX플랫폼사업팀)Sent2025-07-16 14:41:1291328535 (신승엽 DX플랫폼사업팀)Sent2025-07-16 14:41:1282275800 (김현근 DX플랫폼사업팀)Sent2025-07-16 14:41:1282265656 (최숭 DX플랫폼사업팀)Sent"
"2025-07-16 14:24:02","KT-MEG+#운영#c-ktmeg-pk1-a33#","[MW] pushSvr21 8380 Port DOWN","OK","Fatal","6d 22h 25m","No","8TimeUserDetailsStatusInfo2025-07-16 14:24:1282288197 (한성일 경영인프라팀)Sent2025-07-16 14:24:1282022890 (한춘환 고객인프라2팀)Sent2025-07-16 14:24:1282212547 (권소희 고객/경영인프라팀)Sent2025-07-16 14:24:1282022627 (방지현 플랫폼인프라팀)Sent2025-07-16 14:24:1291165414 (한대근 IT통합관제팀)Sent2025-07-16 14:24:1291165414 (한대근 IT통합관제팀)Sent2025-07-16 14:24:1291370471 (배수연 채널인프라팀)Sent2025-07-16 14:24:1291360626 (박대영 채널인프라팀)Sent"
"2025-07-16 14:24:02","KT-MEG+#운영#c-ktmeg-pk1-a33#","[MW] pushSvr21 8443 Port DOWN","OK","Fatal","6d 22h 25m","No","8TimeUserDetailsStatusInfo2025-07-16 14:24:1282288197 (한성일 경영인프라팀)Sent2025-07-16 14:24:1282022890 (한춘환 고객인프라2팀)Sent2025-07-16 14:24:1282212547 (권소희 고객/경영인프라팀)Sent2025-07-16 14:24:1282022627 (방지현 플랫폼인프라팀)Sent2025-07-16 14:24:1291165414 (한대근 IT통합관제팀)Sent2025-07-16 14:24:1291165414 (한대근 IT통합관제팀)Sent2025-07-16 14:24:1291370471 (배수연 채널인프라팀)Sent2025-07-16 14:24:1291360626 (박대영 채널인프라팀)Sent"
"2025-07-16 14:24:01","KT-MEG+#운영#c-ktmeg-pk1-a33#","[MW] pushSvr21 Process DOWN","OK","Fatal","6d 22h 25m","No","8TimeUserDetailsStatusInfo2025-07-16 14:24:0582288197 (한성일 경영인프라팀)Sent2025-07-16 14:24:0582022890 (한춘환 고객인프라2팀)Sent2025-07-16 14:24:0582212547 (권소희 고객/경영인프라팀)Sent2025-07-16 14:24:0582022627 (방지현 플랫폼인프라팀)Sent2025-07-16 14:24:0591165414 (한대근 IT통합관제팀)Sent2025-07-16 14:24:0591165414 (한대근 IT통합관제팀)Sent2025-07-16 14:24:0591370471 (배수연 채널인프라팀)Sent2025-07-16 14:24:0591360626 (박대영 채널인프라팀)Sent"
"2025-07-16 14:23:52","KT-MEG+#운영#c-ktmeg-pk1-a33#","[MW]IRAC_CENT06_JB_000|pushSvr21|8380| JBoss Port Process down 감시","OK","Critical","6d 22h 25m","No","8TimeUserDetailsStatusInfo2025-07-16 14:23:5682288197 (한성일 경영인프라팀)Sent2025-07-16 14:23:5682022890 (한춘환 고객인프라2팀)Sent2025-07-16 14:23:5682212547 (권소희 고객/경영인프라팀)Sent2025-07-16 14:23:5682022627 (방지현 플랫폼인프라팀)Sent2025-07-16 14:23:5691165414 (한대근 IT통합관제팀)Sent2025-07-16 14:23:5691165414 (한대근 IT통합관제팀)Sent2025-07-16 14:23:5691370471 (배수연 채널인프라팀)Sent2025-07-16 14:23:5691360626 (박대영 채널인프라팀)Sent"
"2025-07-16 14:18:30","KT-MEG+#운영#c-ktmeg-pk1-a33#","[OS5019]messages: 파일시스템 관련(read-only)","OK","Critical","6d 22h 30m","No","12TimeUserDetailsStatusInfo2025-07-16 14:18:3382288197 (한성일 경영인프라팀)Sent2025-07-16 14:18:3382022890 (한춘환 고객인프라2팀)Sent2025-07-16 14:18:3382212547 (권소희 고객/경영인프라팀)Sent2025-07-16 14:18:3382022627 (방지현 플랫폼인프라팀)Sent2025-07-16 14:18:3391165414 (한대근 IT통합관제팀)Sent2025-07-16 14:18:3391165414 (한대근 IT통합관제팀)Sent2025-07-16 14:18:3391357203 (정길영 AI/CX 채널인프라팀)Sent2025-07-16 14:18:3391328594 (이은상 AI/CX 품질혁신팀)Sent2025-07-16 14:18:3391340822 (강동혁 AI/CX 품질혁신팀)Sent2025-07-16 14:18:3391342717 (한상현 AI/CX 품질혁신팀)Sent2025-07-16 14:18:3391370471 (배수연 채널인프라팀)Sent2025-07-16 14:18:3391360626 (박대영 채널인프라팀)Sent"
